row_number,invoice_id,branch,customer_id,gender,age,customer_type,credit_score,has_creditcard,is_active_member,product_category,number_of_products,tax_amount,price,total_amount,ratings,customer_churn,tenure
2246,715-20-1673,B,15647807,Male,40,Normal,642,1,0,Electronic accessories,5,7.095,28.38,148.995,9.4,0,69
2247,324-41-6833,C,15659800,Female,50,Member,584,0,1,Electronic accessories,8,12.08,30.2,253.68,5.1,1,1
2248,796-12-2025,C,15773277,Male,35,Normal,676,1,0,Fashion accessories,10,31.06,62.12,652.26,5.9,0,40
2249,733-29-1227,C,15570908,Female,29,Normal,687,0,1,Home and lifestyle,7,19.4635,55.61,408.7335,8.5,0,30
2250,548-48-3156,A,15662571,Male,35,Member,639,1,0,Food and beverages,2,8.334,83.34,175.014,7.6,0,11
2251,620-02-2046,C,15590286,Female,40,Normal,611,1,0,Home and lifestyle,2,6.94,69.4,145.74,9,0,15
2252,510-79-0415,B,15572093,Female,24,Member,613,1,0,Sports and travel,6,6.924,23.08,145.404,4.9,0,11
2253,744-16-7898,B,15766137,Male,34,Normal,497,1,1,Home and lifestyle,10,48.685,97.37,1022.385,4.9,0,64
2254,749-24-1565,A,15758750,Male,31,Normal,564,1,1,Health and beauty,9,10.3635,23.03,217.6335,7.9,0,72
2255,418-02-5978,B,15718242,Female,47,Normal,725,0,0,Health and beauty,9,37.8405,84.09,794.6505,8,1,72
2256,794-32-2436,B,15657449,Male,25,Member,446,1,0,Electronic accessories,2,5.567,55.67,116.907,6,0,1
2257,490-29-1201,A,15567860,Female,44,Normal,581,1,0,Sports and travel,1,0.767,15.34,16.107,6.5,1,15
2258,238-49-0436,A,15689201,Female,49,Normal,721,0,1,Health and beauty,8,12.984,32.46,272.664,4.9,0,60
2259,268-20-3585,C,15764448,Male,35,Normal,837,1,0,Health and beauty,9,6.2325,13.85,130.8825,6,0,56
2260,263-87-5680,C,15679531,Male,34,Member,618,1,1,Home and lifestyle,10,14.265,28.53,299.565,7.8,0,8
2261,628-90-8624,B,15695174,Male,29,Member,654,1,1,Health and beauty,10,41.29,82.58,867.09,5,0,3
2262,199-75-8169,A,15663888,Male,34,Member,549,1,0,Sports and travel,10,7.905,15.81,166.005,8.6,0,49
2263,743-88-1662,C,15628219,Female,37,Normal,665,1,1,Sports and travel,7,33.4215,95.49,701.8515,8.7,1,2
2264,649-11-3678,C,15611544,Male,36,Normal,701,1,0,Food and beverages,9,10.3185,22.93,216.6885,5.5,0,6
2265,156-95-3964,A,15688337,Male,40,Normal,721,1,1,Food and beverages,4,11.078,55.39,232.638,8,0,70
2266,308-81-0538,A,15728082,Male,28,Normal,601,1,0,Fashion accessories,4,14.61,73.05,306.81,4.9,0,12
2267,636-98-3364,B,15739858,Male,56,Member,618,1,1,Electronic accessories,3,3.939,26.26,82.719,6.3,1,52
2268,778-71-5554,C,15815271,Male,43,Member,755,1,0,Fashion accessories,1,0.7715,15.43,16.2015,6.1,1,72
2269,369-82-2676,B,15724955,Male,38,Normal,537,0,0,Electronic accessories,5,18.915,75.66,397.215,7.8,0,40
2270,593-14-4239,B,15689955,Female,40,Normal,461,1,0,Home and lifestyle,8,38.184,95.46,801.864,4.7,0,1
2271,378-24-2715,B,15663161,Female,51,Normal,680,0,0,Home and lifestyle,2,5.344,53.44,112.224,4.1,1,3
2272,526-86-8552,C,15694852,Male,29,Member,575,1,1,Home and lifestyle,10,10.91,21.82,229.11,7.1,0,40
2273,650-98-6268,B,15664720,Male,33,Member,714,0,0,Food and beverages,3,3.1305,20.87,65.7405,8,0,1
2274,886-54-6089,A,15684267,Male,39,Normal,607,1,1,Home and lifestyle,6,3.429,11.43,72.009,7.7,0,30
2275,866-99-7614,C,15700046,Male,41,Normal,635,1,0,Food and beverages,10,44.6,89.2,936.6,4.4,0,23
2276,252-56-2699,A,15603594,Male,24,Normal,635,1,1,Food and beverages,10,21.595,43.19,453.495,8.2,0,1
2277,522-57-8364,A,15655961,Male,27,Member,756,1,0,Fashion accessories,8,20.536,51.34,431.256,7.6,0,44
2278,333-23-2632,A,15729362,Male,36,Member,745,1,0,Health and beauty,7,3.528,10.08,74.088,4.2,0,65
2279,308-81-0538,A,15687094,Female,28,Normal,717,0,0,Fashion accessories,4,14.61,73.05,306.81,4.9,0,7
2280,610-46-4100,A,15730469,Male,31,Normal,663,0,1,Health and beauty,7,10.1325,28.95,212.7825,6,0,72
2281,189-98-2939,C,15589544,Female,57,Normal,673,1,1,Fashion accessories,9,35.3475,78.55,742.2975,7.2,0,8
2282,438-01-4015,B,15637954,Female,35,Member,730,1,1,Sports and travel,4,9.898,49.49,207.858,6.6,0,16
2283,746-04-1077,B,15595228,Male,45,Member,815,0,1,Food and beverages,10,42.315,84.63,888.615,9,1,66
2284,430-60-3493,A,15625023,Male,40,Member,682,0,1,Home and lifestyle,7,33.208,94.88,697.368,4.2,0,1
2285,149-71-6266,B,15667521,Female,22,Member,631,0,0,Sports and travel,9,35.1315,78.07,737.7615,4.5,0,3
2286,372-26-1506,C,15593736,Female,46,Normal,598,0,0,Fashion accessories,5,5.955,23.82,125.055,5.4,1,53
2287,574-57-9721,C,15688193,Male,36,Normal,468,0,0,Food and beverages,2,4.327,43.27,90.867,5.7,0,8
2288,605-03-2706,A,15712068,Male,45,Normal,592,0,1,Health and beauty,3,2.37,15.8,49.77,9.5,0,69
2289,642-61-4706,B,15795933,Female,49,Member,677,1,1,Food and beverages,2,9.34,93.4,196.14,5.5,0,5
2290,699-88-1972,B,15589435,Male,31,Normal,784,1,1,Health and beauty,8,39.664,99.16,832.944,4.2,0,72
2291,534-01-4457,A,15763274,Male,48,Normal,661,0,0,Food and beverages,6,24.513,81.71,514.773,8,0,13
2292,470-32-9057,A,15568164,Female,34,Member,850,1,1,Food and beverages,5,12.835,51.34,269.535,9.1,0,4
2293,878-30-2331,C,15612071,Female,32,Member,763,0,1,Sports and travel,10,27.275,54.55,572.775,7.1,0,54
2294,650-98-6268,B,15681180,Female,23,Member,771,1,0,Food and beverages,3,3.1305,20.87,65.7405,8,0,72
2295,690-01-6631,B,15787189,Male,60,Normal,824,0,0,Fashion accessories,10,8.745,17.49,183.645,6.6,1,12
2296,674-56-6360,A,15723858,Male,39,Normal,517,0,1,Electronic accessories,1,4.7575,95.15,99.9075,6,0,1
2297,859-97-6048,C,15572294,Male,28,Member,623,0,0,Electronic accessories,2,8.425,84.25,176.925,5.3,0,1
2298,801-88-0346,C,15795511,Male,39,Normal,800,1,0,Fashion accessories,3,11.409,76.06,239.589,9.8,0,54
2299,593-65-1552,C,15793723,Male,32,Normal,607,1,0,Home and lifestyle,4,13.962,69.81,293.202,5.9,0,69
2300,308-47-4913,A,15757434,Male,28,Member,599,0,0,Sports and travel,10,26.13,52.26,548.73,6.2,0,48
2301,440-59-5691,C,15586174,Female,30,Member,700,1,1,Health and beauty,7,13.0025,37.15,273.0525,7.7,0,48
2302,238-49-0436,A,15814331,Female,43,Normal,597,1,0,Health and beauty,8,12.984,32.46,272.664,4.9,0,8
2303,277-35-5865,C,15721207,Male,42,Member,625,1,0,Food and beverages,9,44.5365,98.97,935.2665,6.7,0,71
2304,630-74-5166,A,15660316,Female,34,Normal,420,0,0,Sports and travel,6,18.639,62.13,391.419,7.4,1,2
2305,409-49-6995,C,15650488,Female,48,Member,492,1,1,Food and beverages,6,14.181,47.27,297.801,8.8,1,67
2306,278-86-2735,A,15652626,Male,55,Normal,826,1,0,Food and beverages,3,7.851,52.34,164.871,9.2,0,34
2307,544-32-5024,C,15629117,Male,28,Member,584,1,0,Food and beverages,4,9.958,49.79,209.118,6.4,0,3
2308,471-06-8611,C,15721303,Male,34,Normal,640,0,0,Food and beverages,1,2.621,52.42,55.041,6.3,0,9
2309,685-64-1609,A,15594349,Male,49,Member,850,0,1,Fashion accessories,10,15.07,30.14,316.47,9.2,0,71
2310,380-60-5336,A,15686941,Female,26,Normal,575,1,0,Electronic accessories,10,20.13,40.26,422.73,5,0,57
2311,405-31-3305,A,15683524,Female,23,Member,660,0,0,Fashion accessories,10,21.565,43.13,452.865,5.5,0,72
2312,779-06-0012,C,15795166,Male,42,Member,618,1,1,Home and lifestyle,1,4.4305,88.61,93.0405,7.7,0,48
2313,746-94-0204,A,15811589,Male,42,Normal,716,1,0,Fashion accessories,9,37.458,83.24,786.618,7.4,0,18
2314,787-56-0757,C,15701164,Female,34,Member,506,1,1,Food and beverages,4,16.072,80.36,337.512,8.3,0,43
2315,731-59-7531,B,15802009,Female,33,Member,770,1,1,Health and beauty,8,29.028,72.57,609.588,4.6,0,72
2316,291-21-5991,B,15567442,Female,75,Member,656,1,1,Health and beauty,5,15.3225,61.29,321.7725,7,0,35
2317,433-75-6987,B,15735388,Female,25,Member,717,1,0,Health and beauty,7,19.5895,55.97,411.3795,8.9,0,4
2318,321-49-7382,B,15637138,Male,34,Member,660,1,0,Sports and travel,1,4.4155,88.31,92.7255,5.2,0,49
2319,715-20-1673,B,15802486,Male,34,Normal,488,1,1,Electronic accessories,5,7.095,28.38,148.995,9.4,0,71
2320,186-79-9562,B,15804064,Female,35,Normal,742,1,1,Health and beauty,7,25.1195,71.77,527.5095,8.9,0,11
2321,512-91-0811,C,15760880,Male,29,Normal,513,0,1,Health and beauty,1,4.4875,89.75,94.2375,6.6,0,63
2322,670-79-6321,B,15766649,Male,38,Member,670,0,0,Home and lifestyle,7,33.1065,94.59,695.2365,4.9,0,65
2323,301-81-8610,B,15757385,Female,28,Member,578,1,0,Fashion accessories,8,10.168,25.42,213.528,6.7,0,49
2324,263-10-3913,C,15614049,Male,55,Member,664,1,1,Fashion accessories,9,22.068,49.04,463.428,8.6,0,29
2325,271-77-8740,C,15585451,Female,32,Member,558,1,1,Sports and travel,6,8.766,29.22,184.086,5,0,15
2326,382-03-4532,A,15628674,Male,40,Member,844,1,0,Health and beauty,1,0.9165,18.33,19.2465,4.3,1,4
2327,462-78-5240,C,15573077,Female,25,Normal,620,1,1,Electronic accessories,2,2.661,26.61,55.881,4.2,1,72
2328,154-87-7367,C,15768120,Male,36,Normal,702,1,0,Home and lifestyle,8,26.104,65.26,548.184,6.3,0,26
2329,189-98-2939,C,15660980,Male,38,Normal,597,1,1,Fashion accessories,9,35.3475,78.55,742.2975,7.2,0,35
2330,509-10-0516,B,15709737,Male,36,Normal,643,0,1,Home and lifestyle,4,9.194,45.97,193.074,5.1,0,57
2331,430-53-4718,B,15602851,Male,40,Member,629,1,0,Health and beauty,8,30.148,75.37,633.108,8.4,0,28
2332,450-42-3339,C,15814275,Male,33,Normal,685,1,1,Health and beauty,10,42.305,84.61,888.405,8.8,0,25
2333,565-17-3836,A,15708608,Female,22,Member,799,0,1,Health and beauty,4,9.534,47.67,200.214,9.1,0,47
2334,487-79-6868,B,15673971,Female,44,Member,655,1,0,Home and lifestyle,9,5.5305,12.29,116.1405,8,1,57
2335,198-84-7132,B,15595153,Female,44,Member,644,0,0,Fashion accessories,9,18.2745,40.61,383.7645,7,0,16
2336,840-19-2096,C,15672481,Male,37,Member,641,1,0,Electronic accessories,5,21.9775,87.91,461.5275,4.4,0,5
2337,470-32-9057,A,15569682,Male,37,Member,768,1,0,Food and beverages,5,12.835,51.34,269.535,9.1,1,17
2338,728-47-9078,C,15781710,Female,31,Member,558,1,0,Food and beverages,4,11.918,59.59,250.278,9.8,0,56
2339,480-63-2856,C,15617617,Male,39,Normal,811,1,1,Food and beverages,8,7.7,19.25,161.7,6.6,0,72
2340,156-20-0370,B,15758939,Male,35,Normal,540,0,1,Electronic accessories,1,1.2725,25.45,26.7225,5.1,0,21
2341,595-11-5460,A,15690743,Female,61,Normal,536,1,1,Health and beauty,2,9.658,96.58,202.818,5.1,1,48
2342,845-51-0542,B,15628112,Female,36,Member,771,0,0,Food and beverages,9,20.9475,46.55,439.8975,6.4,0,68
2343,154-87-7367,C,15641640,Female,33,Normal,545,1,0,Home and lifestyle,8,26.104,65.26,548.184,6.3,0,30
2344,610-46-4100,A,15718944,Female,37,Normal,573,1,0,Health and beauty,7,10.1325,28.95,212.7825,6,0,3
2345,284-34-9626,B,15579548,Male,36,Normal,735,1,0,Home and lifestyle,3,11.556,77.04,242.676,7.2,0,14
2346,593-14-4239,B,15613427,Female,49,Normal,683,0,0,Home and lifestyle,8,38.184,95.46,801.864,4.7,0,4
2347,394-30-3170,B,15700549,Male,54,Member,721,1,1,Sports and travel,8,35.372,88.43,742.812,4.3,0,71
2348,678-79-0726,C,15576824,Female,44,Member,564,1,1,Sports and travel,9,40.7835,90.63,856.4535,5.1,1,8
2349,321-49-7382,B,15732644,Female,54,Member,567,1,0,Sports and travel,1,4.4155,88.31,92.7255,5.2,1,61
2350,598-06-7312,B,15668309,Female,40,Member,350,1,1,Fashion accessories,1,4.5675,91.35,95.9175,6.8,1,72
2351,162-65-8559,C,15701281,Male,27,Member,511,1,1,Food and beverages,1,3.449,68.98,72.429,4.8,0,5
2352,277-63-2961,B,15697318,Male,32,Member,771,0,0,Sports and travel,1,3.6985,73.97,77.6685,5.4,0,49
2353,273-84-2164,C,15783522,Female,37,Member,738,1,1,Electronic accessories,5,3.0125,12.05,63.2625,5.5,0,8
2354,485-30-8700,A,15603082,Male,51,Normal,701,0,0,Sports and travel,5,8.315,33.26,174.615,4.2,0,3
2355,160-22-2687,A,15630857,Female,39,Member,674,1,1,Health and beauty,5,23.9875,95.95,503.7375,8.8,0,9
2356,447-15-7839,A,15584453,Male,32,Member,555,0,1,Sports and travel,10,11.12,22.24,233.52,4.2,0,67
2357,838-78-4295,C,15580249,Male,45,Normal,502,0,0,Health and beauty,2,3.347,33.47,70.287,6.7,0,46
2358,411-77-0180,A,15732563,Female,33,Member,726,1,1,Electronic accessories,7,25.27,72.2,530.67,4.3,0,67
2359,569-76-2760,A,15797081,Female,49,Member,611,1,1,Sports and travel,4,4.402,22.01,92.442,6.6,1,55
2360,529-56-3974,B,15723437,Female,35,Member,701,1,1,Electronic accessories,4,5.102,25.51,107.142,6.8,0,33
2361,268-27-6179,B,15733872,Female,33,Member,791,0,0,Fashion accessories,8,22.588,56.47,474.348,7.3,1,62
2362,386-27-7606,C,15775116,Male,31,Member,581,0,0,Home and lifestyle,7,28.42,81.2,596.82,8.1,0,1
2363,699-14-3026,C,15574012,Male,44,Normal,645,1,0,Electronic accessories,7,29.8865,85.39,627.6165,4.1,1,49
2364,233-67-5758,C,15617648,Female,44,Normal,584,1,1,Health and beauty,1,2.0175,40.35,42.3675,6.2,0,1
2365,793-10-3222,B,15582116,Female,45,Member,767,1,0,Health and beauty,6,12.318,41.06,258.678,8.3,1,14
2366,721-86-6247,A,15605461,Female,29,Normal,594,1,0,Home and lifestyle,8,25.368,63.42,532.728,7.4,0,18
2367,559-61-5987,B,15615991,Male,42,Normal,654,1,1,Health and beauty,1,0.8875,17.75,18.6375,8.6,0,1
2368,747-58-7183,B,15784301,Male,42,Normal,850,1,0,Fashion accessories,3,8.5905,57.27,180.4005,6.5,0,1
2369,189-98-2939,C,15809347,Male,32,Normal,763,1,0,Fashion accessories,9,35.3475,78.55,742.2975,7.2,0,72
2370,541-48-8554,A,15807294,Female,30,Normal,653,1,1,Sports and travel,9,27.4275,60.95,575.9775,6,0,64
2371,478-06-7835,A,15795149,Male,28,Normal,703,0,1,Fashion accessories,1,4.4845,89.69,94.1745,4.9,0,69
2372,362-58-8315,C,15743545,Female,29,Normal,647,1,0,Fashion accessories,5,19.13,76.52,401.73,9.9,0,1
2373,667-23-5919,A,15758449,Female,39,Member,769,0,1,Fashion accessories,5,24.175,96.7,507.675,7,0,71
2374,636-48-8204,A,15731890,Male,41,Normal,601,0,1,Electronic accessories,5,8.64,34.56,181.44,9.9,0,66
2375,803-83-5989,C,15692991,Female,38,Normal,710,1,1,Home and lifestyle,6,16.719,55.73,351.099,7,0,2
2376,884-80-6021,A,15768233,Male,37,Member,435,0,1,Electronic accessories,10,36.735,73.47,771.435,9.5,1,71
2377,616-24-2851,B,15681755,Female,32,Member,605,1,1,Fashion accessories,4,3.574,17.87,75.054,6.5,0,11
2378,616-87-0016,B,15595039,Female,37,Normal,545,1,0,Fashion accessories,7,33.439,95.54,702.219,9.6,1,47
2379,319-74-2561,A,15623502,Female,56,Member,598,1,1,Electronic accessories,3,14.196,94.64,298.116,5.5,0,35
2380,336-78-2147,C,15648225,Female,38,Member,652,0,1,Home and lifestyle,8,25.564,63.91,536.844,4.6,0,32
2381,740-22-2500,C,15589589,Male,34,Normal,613,1,0,Electronic accessories,3,12.6075,84.05,264.7575,9.8,0,60
2382,746-68-6593,C,15742172,Male,32,Member,598,1,0,Sports and travel,2,8.716,87.16,183.036,9.7,0,11
2383,227-50-3718,A,15701096,Male,44,Normal,778,1,0,Health and beauty,5,3.655,14.62,76.755,4.4,0,29
2384,286-75-7818,B,15703143,Female,29,Normal,820,0,1,Fashion accessories,2,6.908,69.08,145.068,6.9,0,21
2385,366-43-6862,B,15694209,Female,32,Normal,484,1,1,Electronic accessories,4,10.578,52.89,222.138,6.7,0,48
2386,649-29-6775,B,15807593,Female,36,Normal,546,0,0,Fashion accessories,1,1.676,33.52,35.196,6.7,0,3
2387,130-98-8941,C,15734892,Male,37,Normal,579,1,1,Fashion accessories,7,22.491,64.26,472.311,5.7,0,43
2388,597-78-7908,C,15664432,Female,49,Normal,727,1,0,Fashion accessories,3,13.533,90.22,284.193,6.2,1,5
2389,241-96-5076,B,15646490,Male,42,Member,537,0,1,Home and lifestyle,2,4.91,49.1,103.11,6.4,0,1
2390,746-04-1077,B,15636105,Male,61,Member,758,1,1,Food and beverages,10,42.315,84.63,888.615,9,0,71
2391,733-33-4967,C,15732293,Male,31,Normal,759,1,1,Electronic accessories,8,8.34,20.85,175.14,6.3,0,8
2392,149-71-6266,B,15595874,Female,36,Member,666,1,0,Sports and travel,9,35.1315,78.07,737.7615,4.5,0,8
2393,629-42-4133,C,15693752,Male,37,Normal,487,1,1,Health and beauty,8,8.72,21.8,183.12,8.3,0,20
2394,390-31-6381,C,15778838,Male,38,Normal,783,1,0,Food and beverages,3,4.083,27.22,85.743,7.3,0,33
2395,342-65-4817,C,15590888,Female,34,Member,693,0,0,Health and beauty,3,13.02,86.8,273.42,9.9,0,71
2396,608-27-6295,B,15747808,Male,29,Member,712,1,1,Electronic accessories,6,15.867,52.89,333.207,9.8,0,31
2397,124-31-1458,A,15803840,Female,32,Member,729,0,0,Electronic accessories,3,11.9385,79.59,250.7085,6.6,0,38
2398,389-70-2397,C,15797113,Female,34,Normal,552,1,0,Health and beauty,5,20.915,83.66,439.215,7.2,0,1
2399,286-01-5402,A,15807546,Female,38,Normal,837,1,1,Sports and travel,7,14.0805,40.23,295.6905,9.6,0,2
2400,788-21-5741,A,15707551,Male,30,Normal,568,1,1,Fashion accessories,3,6.807,45.38,142.947,7.2,0,12
2401,183-56-6882,C,15792489,Male,42,Member,622,1,0,Food and beverages,4,19.884,99.42,417.564,7.5,0,9
2402,877-22-3308,A,15674720,Female,37,Member,691,1,1,Health and beauty,10,7.935,15.87,166.635,5.8,1,11
2403,541-89-9860,C,15764922,Male,20,Member,596,1,0,Fashion accessories,3,12.072,80.48,253.512,8.1,0,6
2404,148-41-7930,C,15767891,Female,28,Normal,619,1,0,Health and beauty,7,34.986,99.96,734.706,6.1,0,71
2405,471-06-8611,C,15747854,Female,35,Normal,749,1,1,Food and beverages,1,2.621,52.42,55.041,6.3,0,42
2406,702-72-0487,A,15597930,Male,52,Normal,646,0,0,Electronic accessories,2,4.661,46.61,97.881,6.6,1,8
2407,339-18-7061,C,15770255,Female,33,Member,797,0,0,Fashion accessories,2,9.298,92.98,195.258,8,0,5
2408,236-27-1144,C,15769818,Female,37,Normal,850,0,1,Food and beverages,9,7.3395,16.31,154.1295,8.4,0,2
2409,816-57-2053,A,15741417,Female,35,Normal,624,1,1,Sports and travel,2,6.087,60.87,127.827,8.7,0,45
2410,592-34-6155,C,15574296,Male,23,Normal,757,1,0,Food and beverages,4,6.354,31.77,133.434,6.2,0,28
2411,372-26-1506,C,15690695,Female,33,Normal,683,1,1,Fashion accessories,5,5.955,23.82,125.055,5.4,0,43
2412,477-24-6490,B,15596984,Female,31,Normal,629,1,1,Health and beauty,6,29.913,99.71,628.173,7.9,1,60
2413,825-94-5922,B,15623791,Female,40,Normal,632,1,0,Sports and travel,2,2.531,25.31,53.151,7.2,0,42
2414,652-43-6591,A,15680843,Male,34,Normal,675,1,1,Fashion accessories,8,38.916,97.29,817.236,6.2,0,7
2415,719-76-3868,C,15766787,Female,35,Member,707,1,1,Food and beverages,4,18.852,94.26,395.892,8.6,0,25
2416,314-23-4520,C,15781619,Female,38,Member,785,1,0,Health and beauty,7,28.4305,81.23,597.0405,9,1,40
2417,821-14-9046,B,15636520,Male,27,Member,692,0,0,Fashion accessories,6,5.244,17.48,110.124,6.1,0,27
2418,831-81-6575,B,15751175,Female,44,Member,648,1,1,Electronic accessories,9,34.0155,75.59,714.3255,8,0,10
2419,226-31-3081,C,15647311,Female,41,Normal,608,0,1,Electronic accessories,5,3.82,15.28,80.22,9.6,0,27
2420,549-84-7482,B,15685309,Female,35,Normal,669,1,1,Sports and travel,9,40.626,90.28,853.146,7.2,1,11
2421,558-80-4082,C,15770185,Male,32,Normal,779,1,0,Electronic accessories,7,9.7475,27.85,204.6975,6,0,4
2422,756-01-7507,C,15739292,Male,31,Normal,609,1,1,Health and beauty,5,5.095,20.38,106.995,6,0,68
2423,296-11-7041,B,15610903,Female,31,Member,560,1,0,Health and beauty,1,1.3535,27.07,28.4235,5.3,0,1
2424,787-56-0757,C,15814816,Male,40,Member,466,1,0,Food and beverages,4,16.072,80.36,337.512,8.3,1,18
2425,777-82-7220,B,15577478,Female,72,Member,714,1,1,Home and lifestyle,8,12.048,30.12,253.008,7.7,0,57
2426,311-13-6971,B,15614643,Female,39,Member,731,1,0,Sports and travel,10,15.995,31.99,335.895,9.9,0,26
2427,504-35-8843,A,15734610,Male,42,Normal,543,1,0,Sports and travel,1,2.1235,42.47,44.5935,5.7,1,17
2428,539-21-7227,B,15658504,Female,62,Normal,584,0,1,Sports and travel,5,12.885,51.54,270.585,4.2,0,1
2429,856-22-8149,A,15707674,Female,58,Normal,515,1,0,Home and lifestyle,1,1.2645,25.29,26.5545,6.1,1,38
2430,490-95-0021,B,15724453,Male,23,Member,570,0,0,Food and beverages,10,16.605,33.21,348.705,6,0,59
2431,343-75-9322,B,15758171,Male,20,Member,582,1,1,Sports and travel,8,4.74,11.85,99.54,4.1,0,30
2432,409-33-9708,A,15697597,Male,26,Normal,631,0,1,Fashion accessories,2,9.848,98.48,206.808,9.2,0,2
2433,425-85-2085,B,15812210,Female,32,Member,497,1,1,Health and beauty,5,13.715,54.86,288.015,9.8,1,50
2434,602-16-6955,B,15769959,Female,53,Normal,597,1,0,Sports and travel,10,38.3,76.6,804.3,6,1,9
2435,380-94-4661,C,15806327,Female,40,Member,800,1,0,Electronic accessories,4,13.188,65.94,276.948,6.9,0,3
2436,750-67-8428,A,15658577,Female,37,Member,629,0,1,Health and beauty,7,26.1415,74.69,548.9715,9.1,1,14
2437,234-03-4040,B,15645571,Male,32,Member,596,0,1,Food and beverages,10,36.525,73.05,767.025,8.7,0,31
2438,235-46-8343,C,15680855,Male,33,Member,637,0,1,Food and beverages,10,13.83,27.66,290.43,8.9,0,7
2439,195-06-0432,A,15603794,Male,48,Member,623,1,1,Home and lifestyle,3,12.1515,81.01,255.1815,9.3,0,8
2440,652-49-6720,C,15589210,Female,24,Member,557,0,0,Electronic accessories,1,3.0475,60.95,63.9975,5.9,0,17
2441,566-19-5475,B,15800215,Male,25,Normal,658,0,1,Fashion accessories,7,16.7895,47.97,352.5795,6.2,0,32
2442,509-29-3912,A,15611682,Male,37,Member,590,1,1,Sports and travel,9,17.424,38.72,365.904,4.2,0,2
2443,318-81-2368,C,15604196,Male,32,Normal,766,1,1,Electronic accessories,1,2.31,46.2,48.51,6.3,0,7
2444,640-49-2076,B,15755642,Male,34,Normal,667,1,1,Sports and travel,8,33.512,83.78,703.752,5.1,0,72
2445,256-58-3609,C,15732903,Male,39,Member,673,1,0,Fashion accessories,1,4.599,91.98,96.579,9.8,0,31
2446,339-96-8318,B,15653620,Female,27,Member,546,1,1,Fashion accessories,7,28.4585,81.31,597.6285,6.3,0,27
2447,573-58-9734,B,15717893,Male,36,Normal,607,1,0,Fashion accessories,3,4.5555,30.37,95.6655,5.1,0,18
2448,448-81-5016,A,15750921,Male,37,Normal,521,1,1,Health and beauty,2,5.977,59.77,125.517,5.8,0,7
2449,803-17-8013,A,15660211,Male,35,Member,629,1,0,Home and lifestyle,8,35.516,88.79,745.836,4.1,0,14
2450,326-71-2155,C,15670039,Female,25,Normal,509,1,0,Sports and travel,4,14.79,73.95,310.59,6.1,0,11
2451,162-48-8011,A,15623220,Female,45,Member,723,1,0,Food and beverages,5,11.1475,44.59,234.0975,8.5,0,72
2452,560-49-6611,A,15628886,Male,56,Member,677,1,1,Sports and travel,1,2.279,45.58,47.859,9.8,1,28
2453,176-78-1170,C,15598536,Female,26,Member,736,0,1,Health and beauty,3,5.0715,33.81,106.5015,7.3,0,15
2454,864-24-7918,A,15774164,Male,33,Member,502,1,0,Sports and travel,10,12.245,24.49,257.145,8.1,0,4
2455,746-04-1077,B,15634310,Male,30,Member,509,1,0,Food and beverages,10,42.315,84.63,888.615,9,0,71
2456,196-01-2849,C,15740900,Male,34,Member,589,1,1,Fashion accessories,7,25.683,73.38,539.343,9.5,0,5
2457,460-93-5834,A,15632344,Female,42,Normal,792,1,0,Sports and travel,7,15.953,45.58,335.013,5,0,47
2458,610-46-4100,A,15673238,Female,59,Normal,517,1,0,Health and beauty,7,10.1325,28.95,212.7825,6,1,57
2459,725-54-0677,C,15722122,Female,40,Member,544,0,1,Health and beauty,7,29.96,85.6,629.16,5.3,0,50
2460,239-36-3640,B,15654654,Female,33,Normal,725,1,1,Electronic accessories,6,13.605,45.35,285.705,6.1,0,8
2461,594-34-4444,A,15616929,Male,62,Normal,730,0,1,Electronic accessories,1,4.858,97.16,102.018,7.2,0,48
2462,443-60-9639,C,15668747,Female,46,Member,702,0,1,Home and lifestyle,1,3.0435,60.87,63.9135,5.5,0,70
2463,674-15-9296,A,15677377,Male,37,Normal,543,1,1,Sports and travel,5,9.285,37.14,194.985,5,0,1
2464,740-11-5257,C,15632736,Female,30,Normal,850,1,1,Electronic accessories,10,12.37,24.74,259.77,7.1,0,8
2465,719-76-3868,C,15624715,Female,40,Member,593,1,1,Food and beverages,4,18.852,94.26,395.892,8.6,0,1
2466,633-91-1052,A,15646091,Female,43,Normal,560,1,0,Home and lifestyle,2,1.203,12.03,25.263,5.1,1,1
2467,219-61-4139,C,15573599,Female,57,Normal,506,0,1,Electronic accessories,1,4.154,83.08,87.234,6.4,1,60
2468,401-18-8016,B,15770405,Female,27,Member,613,1,0,Sports and travel,1,4.9065,98.13,103.0365,8.9,0,49
2469,894-41-5205,C,15719348,Male,35,Normal,513,1,0,Food and beverages,8,17.272,43.18,362.712,8.3,1,4
2470,448-34-8700,B,15786680,Male,37,Member,805,1,0,Home and lifestyle,7,12.9185,36.91,271.2885,6.7,0,29
2471,742-04-5161,A,15726720,Female,40,Member,480,1,0,Home and lifestyle,10,36.39,72.78,764.19,7.3,1,67
2472,284-54-4231,C,15768449,Female,37,Member,634,1,1,Sports and travel,1,4.0465,80.93,84.9765,9,0,53
2473,725-96-3778,C,15694510,Male,45,Member,725,0,0,Home and lifestyle,8,35.7,89.25,749.7,4.7,0,67
2474,210-30-7976,B,15644849,Female,32,Member,655,1,1,Fashion accessories,4,4.464,22.32,93.744,4.1,0,6
2475,163-56-7055,C,15668830,Male,24,Member,650,1,0,Fashion accessories,1,2.4355,48.71,51.1455,4.1,0,47
